,Time,Vibration RMS Velocity,Temperature,Name,Datetime
554,27.7.2022 18:06:27,0.55,30.7,control valve,2022-07-27 18:06:27
556,27.7.2022 18:18:14,0.72,51.8,humidifier Condair,2022-07-27 18:18:14
560,27.7.2022 18:56:02,0.91,27.3,air fan,2022-07-27 18:56:02
558,27.7.2022 18:59:41,0.43,38.0,HVAC drive,2022-07-27 18:59:41
556,27.7.2022 19:05:10,0.8,28.8,control cabinet,2022-07-27 19:05:10
553,27.7.2022 19:06:35,0.69,30.8,control valve,2022-07-27 19:06:35
555,27.7.2022 19:18:38,0.71,52.0,humidifier Condair,2022-07-27 19:18:38
559,27.7.2022 19:56:01,0.88,27.4,air fan,2022-07-27 19:56:01
557,27.7.2022 19:59:52,0.45,38.1,HVAC drive,2022-07-27 19:59:52
555,27.7.2022 20:05:17,0.76,28.9,control cabinet,2022-07-27 20:05:17
552,27.7.2022 20:06:41,0.58,30.8,control valve,2022-07-27 20:06:41
554,27.7.2022 20:19:00,0.73,52.0,humidifier Condair,2022-07-27 20:19:00
558,27.7.2022 20:56:00,0.99,27.4,air fan,2022-07-27 20:56:00
556,27.7.2022 21:00:02,0.57,38.1,HVAC drive,2022-07-27 21:00:02
554,27.7.2022 21:05:22,0.72,28.9,control cabinet,2022-07-27 21:05:22
551,27.7.2022 21:06:46,0.48,30.9,control valve,2022-07-27 21:06:46
553,27.7.2022 21:19:23,0.34,51.8,humidifier Condair,2022-07-27 21:19:23
557,27.7.2022 21:55:59,0.91,27.5,air fan,2022-07-27 21:55:59
555,27.7.2022 22:00:12,0.45,38.1,HVAC drive,2022-07-27 22:00:12
553,27.7.2022 22:05:28,0.76,28.9,control cabinet,2022-07-27 22:05:28
550,27.7.2022 22:06:51,0.59,30.9,control valve,2022-07-27 22:06:51
552,27.7.2022 22:19:45,0.97,51.9,humidifier Condair,2022-07-27 22:19:45
556,27.7.2022 22:56:00,0.88,27.5,air fan,2022-07-27 22:56:00
554,27.7.2022 23:00:23,0.54,38.2,HVAC drive,2022-07-27 23:00:23
552,27.7.2022 23:05:33,0.8,28.9,control cabinet,2022-07-27 23:05:33
549,27.7.2022 23:06:56,0.56,30.9,control valve,2022-07-27 23:06:56
551,27.7.2022 23:20:10,0.94,51.9,humidifier Condair,2022-07-27 23:20:10
555,27.7.2022 23:55:57,0.73,27.7,air fan,2022-07-27 23:55:57
553,28.7.2022 00:00:33,0.57,38.2,HVAC drive,2022-07-28 00:00:33
551,28.7.2022 00:05:37,0.77,28.9,control cabinet,2022-07-28 00:05:37
548,28.7.2022 00:07:01,0.74,31.0,control valve,2022-07-28 00:07:01
550,28.7.2022 00:20:31,0.54,52.1,humidifier Condair,2022-07-28 00:20:31
554,28.7.2022 00:55:57,0.8,27.7,air fan,2022-07-28 00:55:57
552,28.7.2022 01:00:43,0.4,38.3,HVAC drive,2022-07-28 01:00:43
550,28.7.2022 01:05:41,0.76,28.9,control cabinet,2022-07-28 01:05:41
547,28.7.2022 01:07:06,0.62,31.0,control valve,2022-07-28 01:07:06
549,28.7.2022 01:20:52,0.9,52.1,humidifier Condair,2022-07-28 01:20:52
553,28.7.2022 01:55:55,0.84,27.7,air fan,2022-07-28 01:55:55
551,28.7.2022 02:00:54,0.47,38.3,HVAC drive,2022-07-28 02:00:54
549,28.7.2022 02:05:47,0.8,29.0,control cabinet,2022-07-28 02:05:47
546,28.7.2022 02:07:10,0.64,31.1,control valve,2022-07-28 02:07:10
548,28.7.2022 02:21:14,1.07,52.2,humidifier Condair,2022-07-28 02:21:14
552,28.7.2022 02:55:53,0.91,27.7,air fan,2022-07-28 02:55:53
550,28.7.2022 03:01:04,0.46,38.3,HVAC drive,2022-07-28 03:01:04
548,28.7.2022 03:05:52,0.8,28.9,control cabinet,2022-07-28 03:05:52
545,28.7.2022 03:07:15,0.7,31.0,control valve,2022-07-28 03:07:15
547,28.7.2022 03:21:34,0.81,52.1,humidifier Condair,2022-07-28 03:21:34
551,28.7.2022 03:55:51,0.91,27.8,air fan,2022-07-28 03:55:51
549,28.7.2022 04:01:13,0.42,38.3,HVAC drive,2022-07-28 04:01:13
547,28.7.2022 04:05:58,0.8,28.9,control cabinet,2022-07-28 04:05:58
544,28.7.2022 04:07:19,0.6,31.0,control valve,2022-07-28 04:07:19
546,28.7.2022 04:21:55,0.81,52.2,humidifier Condair,2022-07-28 04:21:55
550,28.7.2022 04:55:50,0.73,27.8,air fan,2022-07-28 04:55:50
548,28.7.2022 05:01:24,0.57,38.3,HVAC drive,2022-07-28 05:01:24
546,28.7.2022 05:06:03,0.8,28.9,control cabinet,2022-07-28 05:06:03
543,28.7.2022 05:07:23,0.56,31.1,control valve,2022-07-28 05:07:23
545,28.7.2022 05:22:15,1.06,52.2,humidifier Condair,2022-07-28 05:22:15
549,28.7.2022 05:55:48,0.91,27.9,air fan,2022-07-28 05:55:48
547,28.7.2022 06:01:35,0.47,38.4,HVAC drive,2022-07-28 06:01:35
545,28.7.2022 06:06:09,0.8,29.0,control cabinet,2022-07-28 06:06:09
542,28.7.2022 06:07:27,0.69,31.1,control valve,2022-07-28 06:07:27
544,28.7.2022 06:22:36,0.74,52.2,humidifier Condair,2022-07-28 06:22:36
548,28.7.2022 06:55:45,0.84,27.9,air fan,2022-07-28 06:55:45
546,28.7.2022 07:01:46,0.55,38.4,HVAC drive,2022-07-28 07:01:46
544,28.7.2022 07:06:14,0.8,28.9,control cabinet,2022-07-28 07:06:14
541,28.7.2022 07:07:33,0.81,31.1,control valve,2022-07-28 07:07:33
543,28.7.2022 07:22:57,1.02,52.2,humidifier Condair,2022-07-28 07:22:57
547,28.7.2022 07:55:44,0.91,27.9,air fan,2022-07-28 07:55:44
545,28.7.2022 08:01:57,0.43,38.4,HVAC drive,2022-07-28 08:01:57
543,28.7.2022 08:06:19,0.8,28.9,control cabinet,2022-07-28 08:06:19
540,28.7.2022 08:07:37,0.53,31.1,control valve,2022-07-28 08:07:37
542,28.7.2022 08:23:18,0.16,52.1,humidifier Condair,2022-07-28 08:23:18
546,28.7.2022 08:55:43,0.77,27.7,air fan,2022-07-28 08:55:43
544,28.7.2022 09:02:06,0.45,38.3,HVAC drive,2022-07-28 09:02:06
